Year,Month,DayofMonth,DayofWeek,ActualDepTime,ScheduledDepTime,ActualArrTime,ScheduledArrTime,Carrier,FlightNum,TailNum,ActualTotalTime,ScheduledTotalTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,ColY,ColZ,ColAA,ColAB,ColAC
2008,1,4,5,707,700,823,815,WN,2206,N441WN,76,75,59,8,7,RDU,PHL,336,7,10,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1048,1015,1332,1320,WN,221,N766SW,284,305,272,12,33,RDU,PHX,1891,7,5,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1025,1025,1202,1220,WN,2293,N441WN,97,115,84,-18,0,RDU,TPA,587,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1917,1910,2053,2100,WN,2634,N218WN,96,110,81,-7,7,RDU,TPA,587,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,652,625,832,820,WN,3266,N694SW,100,115,87,12,27,RDU,TPA,587,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,NA,1815,NA,2020,WN,239,,NA,65,NA,NA,NA,RNO,BOI,335,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,1,4,5,758,800,955,1005,WN,2538,N754SW,57,65,47,-10,-2,RNO,BOI,335,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1446,1410,1658,1615,WN,3589,N392SW,72,65,47,43,36,RNO,BOI,335,3,22,0,,0,0,0,7,0,36
2008,1,4,5,1313,1255,1434,1410,WN,120,N614SW,81,75,55,24,18,RNO,LAS,345,7,19,0,,0,5,0,6,0,13
2008,1,4,5,1130,1115,1259,1225,WN,380,N239WN,89,70,52,34,15,RNO,LAS,345,6,31,0,,0,9,0,19,0,6
2008,1,4,5,1635,1545,1754,1655,WN,637,N611SW,79,70,58,59,50,RNO,LAS,345,10,11,0,,0,12,0,9,0,38
2008,1,4,5,NA,1910,NA,2020,WN,708,,NA,70,NA,NA,NA,RNO,LAS,345,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,1,4,5,2222,2150,2349,2300,WN,1017,N240WN,87,70,53,49,32,RNO,LAS,345,3,31,0,,0,4,0,17,0,28
2008,1,4,5,1348,1340,1502,1455,WN,1027,N754SW,74,75,63,7,8,RNO,LAS,345,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,NA,1725,NA,1835,WN,1072,,NA,70,NA,NA,NA,RNO,LAS,345,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,1,4,5,NA,1940,NA,2050,WN,1403,,NA,70,NA,NA,NA,RNO,LAS,345,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,1,4,5,1029,1030,1135,1140,WN,2018,N669SW,66,70,54,-5,-1,RNO,LAS,345,6,6,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,915,855,1020,1005,WN,2113,N314SW,65,70,54,15,20,RNO,LAS,345,3,8,0,,0,4,0,0,0,11
2008,1,4,5,611,610,720,725,WN,3250,N706SW,69,75,56,-5,1,RNO,LAS,345,3,10,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1521,1445,1631,1555,WN,3517,N737JW,70,70,55,36,36,RNO,LAS,345,3,12,0,,0,0,21,0,0,15
2008,1,4,5,733,730,843,845,WN,3598,N442WN,70,75,55,-2,3,RNO,LAS,345,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1131,1120,1251,1240,WN,397,N476WN,80,80,62,11,11,RNO,LAX,390,4,14,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,NA,1855,NA,2020,WN,520,,NA,85,NA,NA,NA,RNO,LAX,390,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,1,4,5,845,705,1025,825,WN,2554,N286WN,100,80,90,120,100,RNO,LAX,390,6,4,0,,0,100,0,20,0,0
2008,1,4,5,1057,1050,1628,1640,WN,324,N788SA,211,230,196,-12,7,RNO,MDW,1680,7,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1024,1015,1123,1110,WN,891,N213WN,59,55,48,13,9,RNO,OAK,180,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1234,1210,1351,1305,WN,2719,N463WN,77,55,61,46,24,RNO,OAK,180,4,12,0,,0,10,0,22,0,14
2008,1,4,5,NA,1805,NA,1900,WN,2732,,NA,55,NA,NA,NA,RNO,OAK,180,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,1,4,5,643,640,750,740,WN,3772,N279WN,67,60,51,10,3,RNO,OAK,180,4,12,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1130,1125,1246,1255,WN,530,N302SW,76,90,66,-9,5,RNO,PDX,444,2,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,NA,1955,NA,2125,WN,1511,,NA,90,NA,NA,NA,RNO,PDX,444,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,1,4,5,1638,1545,1803,1715,WN,2360,N494WN,85,90,69,48,53,RNO,PDX,444,6,10,0,,0,0,0,0,0,48
2008,1,4,5,628,630,745,800,WN,2902,N900WN,77,90,65,-15,-2,RNO,PDX,444,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,2043,1720,2328,2000,WN,796,N761RR,105,100,81,208,203,RNO,PHX,601,6,18,0,,0,0,189,5,0,14
2008,1,4,5,939,930,1216,1210,WN,1006,N267WN,97,100,83,6,9,RNO,PHX,601,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1213,1135,1446,1415,WN,1231,N486WN,93,100,80,31,38,RNO,PHX,601,5,8,0,,0,14,0,0,0,17
2008,1,4,5,744,740,907,930,WN,1940,N608SW,83,110,73,-23,4,RNO,SAN,488,2,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,NA,1600,NA,1750,WN,3513,,NA,110,NA,NA,NA,RNO,SAN,488,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,1,4,5,659,700,834,850,WN,293,N239WN,95,110,82,-16,-1,RNO,SEA,564,6,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1556,1530,1731,1720,WN,3835,N318SW,95,110,79,11,26,RNO,SEA,564,6,10,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,NA,2035,NA,2135,WN,298,,NA,60,NA,NA,NA,RNO,SJC,188,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,1,4,5,854,850,1004,950,WN,463,N611SW,70,60,55,14,4,RNO,SJC,188,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1251,1215,1402,1315,WN,1002,N704SW,71,60,57,47,36,RNO,SJC,188,6,8,0,,0,22,0,11,0,14
2008,1,4,5,2049,1710,2158,1810,WN,1276,N497WN,69,60,49,228,219,RNO,SJC,188,3,17,0,,0,0,198,9,0,21
2008,1,4,5,1311,1240,1528,1500,WN,2969,N360SW,77,80,58,28,31,RNO,SLC,422,3,16,0,,0,0,10,0,0,18
2008,1,4,5,1822,1825,2043,2045,WN,1830,N390SW,141,140,130,-2,-3,RSW,BWI,919,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1120,1110,1331,1330,WN,3047,N269WN,131,140,121,1,10,RSW,BWI,919,2,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1946,1910,2230,2150,WN,3485,N353SW,164,160,151,40,36,RSW,ISP,1101,4,9,0,,0,5,0,4,0,31
2008,1,4,5,625,620,711,705,WN,467,N310SW,46,45,27,6,5,RSW,MCO,133,10,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1432,1430,1516,1520,WN,630,N404WN,44,50,29,-4,2,RSW,MCO,133,8,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1624,1630,1706,1720,WN,1305,N727SW,42,50,27,-14,-6,RSW,MCO,133,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1029,1025,1124,1115,WN,3754,N707SA,55,50,29,9,4,RSW,MCO,133,11,15,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,708,705,851,900,WN,902,N388SW,163,175,152,-9,3,RSW,MDW,1105,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,2043,1945,2229,2140,WN,1169,N664WN,166,175,156,49,58,RSW,MDW,1105,4,6,0,,0,2,0,0,0,47
2008,1,4,5,1346,1340,1547,1535,WN,3587,N287WN,181,175,160,12,6,RSW,MDW,1105,6,15,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1219,1220,1446,1505,WN,3660,N425LV,147,165,131,-19,-1,RSW,PHL,992,7,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1504,1345,1735,1625,WN,294,N251WN,91,100,78,70,79,SAN,ABQ,628,4,9,0,,0,1,0,0,0,69
2008,1,4,5,1957,1930,2224,2210,WN,1255,N631SW,87,100,76,14,27,SAN,ABQ,628,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,954,955,1228,1240,WN,1940,N608SW,94,105,81,-12,-1,SAN,ABQ,628,3,10,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,813,810,1240,1250,WN,297,N456WN,147,160,131,-10,3,SAN,AUS,1164,4,12,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1622,1525,2044,2005,WN,2529,N256WN,142,160,132,39,57,SAN,AUS,1164,3,7,0,,0,26,0,0,0,13
2008,1,4,5,1540,1435,2109,2015,WN,179,N796SW,209,220,196,54,65,SAN,BNA,1751,4,9,0,,0,1,0,0,0,53
2008,1,4,5,1022,930,1600,1510,WN,764,N603SW,218,220,205,50,52,SAN,BNA,1751,5,8,0,,0,50,0,0,0,0
2008,1,4,5,715,715,1440,1505,WN,257,N454WN,265,290,254,-25,0,SAN,BWI,2295,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1339,1225,2113,2010,WN,505,N223WN,274,285,263,63,74,SAN,BWI,2295,4,7,0,,0,0,0,0,0,63
2008,1,4,5,1518,1305,1748,1545,WN,1156,N469WN,90,100,80,123,133,SAN,ELP,636,2,8,0,,0,7,0,0,0,116
2008,1,4,5,819,805,1311,1300,WN,588,N769SW,172,175,148,11,14,SAN,HOU,1312,3,21,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,733,735,847,845,WN,71,N682SW,74,70,57,2,-2,SAN,LAS,258,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1628,1520,1733,1630,WN,156,N463WN,65,70,51,63,68,SAN,LAS,258,4,10,0,,0,5,0,0,0,58
2008,1,4,5,925,920,1029,1030,WN,161,N241WN,64,70,51,-1,5,SAN,LAS,258,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1118,1025,1227,1135,WN,213,N671SW,69,70,54,52,53,SAN,LAS,258,6,9,0,,0,4,0,0,0,48
2008,1,4,5,637,635,744,750,WN,249,N224WN,67,75,50,-6,2,SAN,LAS,258,3,14,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1738,1725,1842,1835,WN,415,N304SW,64,70,49,7,13,SAN,LAS,258,7,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1416,1355,1526,1505,WN,709,N761RR,70,70,52,21,21,SAN,LAS,258,5,13,0,,0,2,0,0,0,19
2008,1,4,5,1619,1555,1722,1705,WN,719,N234WN,63,70,51,17,24,SAN,LAS,258,5,7,0,,0,1,0,0,0,16
2008,1,4,5,1806,1800,1910,1910,WN,802,N209WN,64,70,49,0,6,SAN,LAS,258,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,2038,2030,2202,2140,WN,1341,N482WN,84,70,52,22,8,SAN,LAS,258,21,11,0,,0,0,0,14,0,8
2008,1,4,5,1951,1900,2059,2010,WN,2273,N628SW,68,70,53,49,51,SAN,LAS,258,3,12,0,,0,11,0,0,0,38
2008,1,4,5,1707,1640,1811,1750,WN,2450,N700GS,64,70,48,21,27,SAN,LAS,258,5,11,0,,0,2,0,0,0,19
2008,1,4,5,2237,2120,2335,2230,WN,2816,N715SW,58,70,43,65,77,SAN,LAS,258,5,10,0,,0,5,0,0,0,60
2008,1,4,5,1206,1200,1315,1315,WN,3835,N318SW,69,75,53,0,6,SAN,LAS,258,5,11,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,945,915,1440,1420,WN,283,N492WN,175,185,159,20,30,SAN,MCI,1333,4,12,0,,0,3,0,0,0,17
2008,1,4,5,1910,1835,2356,2335,WN,318,N229WN,166,180,155,21,35,SAN,MCI,1333,3,8,0,,0,1,0,0,0,20
2008,1,4,5,1029,1030,1558,1620,WN,378,N490WN,209,230,195,-22,-1,SAN,MDW,1728,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,652,655,1226,1250,WN,568,N715SW,214,235,196,-24,-3,SAN,MDW,1728,7,11,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1911,1855,43,40,WN,3065,N426WN,212,225,196,3,16,SAN,MDW,1728,5,11,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1250,1250,1829,1845,WN,3510,N451WN,219,235,199,-16,0,SAN,MDW,1728,11,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1904,1610,39,2200,WN,3662,N749SW,215,230,203,159,174,SAN,MDW,1728,4,8,0,,0,2,0,0,0,157
2008,1,4,5,1437,1330,1605,1455,WN,78,N455WN,88,85,69,70,67,SAN,OAK,446,6,13,0,,0,0,0,3,0,67
2008,1,4,5,1131,1120,1320,1250,WN,493,N709SW,109,90,91,30,11,SAN,OAK,446,6,12,0,,0,5,0,19,0,6
2008,1,4,5,1940,1925,2125,2055,WN,644,N475WN,105,90,72,30,15,SAN,OAK,446,19,14,0,,0,0,0,15,0,15
2008,1,4,5,1720,1705,1856,1835,WN,687,N665WN,96,90,73,21,15,SAN,OAK,446,8,15,0,,0,15,0,6,0,0
2008,1,4,5,817,815,1004,945,WN,783,N396SW,107,90,87,19,2,SAN,OAK,446,3,17,0,,0,0,0,19,0,0
2008,1,4,5,1954,1955,2132,2125,WN,809,N466WN,98,90,72,7,-1,SAN,OAK,446,12,14,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1510,1505,1705,1630,WN,1071,N699SW,115,85,71,35,5,SAN,OAK,446,32,12,0,,0,0,0,35,0,0
2008,1,4,5,1441,1430,1628,1555,WN,1112,N433LV,107,85,68,33,11,SAN,OAK,446,27,12,0,,0,0,0,33,0,0
2008,1,4,5,627,630,815,805,WN,1163,N646SW,108,95,86,10,-3,SAN,OAK,446,7,15,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,2026,2030,2201,2200,WN,1172,N663SW,95,90,71,1,-4,SAN,OAK,446,10,14,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1540,1540,1704,1705,WN,1179,N633SW,84,85,69,-1,0,SAN,OAK,446,7,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1354,1255,1524,1425,WN,1314,N780SW,90,90,71,59,59,SAN,OAK,446,8,11,0,,0,0,0,54,0,5
2008,1,4,5,933,925,1111,1055,WN,1599,N792SW,98,90,85,16,8,SAN,OAK,446,4,9,0,,0,8,0,8,0,0
2008,1,4,5,1804,1740,1949,1910,WN,2612,N434WN,105,90,71,39,24,SAN,OAK,446,21,13,0,,0,0,0,15,0,24
2008,1,4,5,1839,1810,2008,1940,WN,2971,N433LV,89,90,71,28,29,SAN,OAK,446,7,11,0,,0,0,0,0,0,28
2008,1,4,5,1106,1050,1300,1220,WN,3502,N392SW,114,90,95,40,16,SAN,OAK,446,5,14,0,,0,12,0,24,0,4
2008,1,4,5,NA,845,NA,1015,WN,3503,,NA,90,NA,NA,NA,SAN,OAK,446,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,1,4,5,1216,1200,1349,1330,WN,3679,N495WN,93,90,73,19,16,SAN,OAK,446,4,16,0,,0,2,0,3,0,14
2008,1,4,5,2003,1945,2202,2155,WN,114,N698SW,59,70,46,7,18,SAN,PHX,304,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1344,1235,1543,1445,WN,316,N343SW,59,70,44,58,69,SAN,PHX,304,5,10,0,,0,2,0,0,0,56
2008,1,4,5,639,640,853,850,WN,327,N655WN,74,70,48,3,-1,SAN,PHX,304,5,21,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1028,1005,1227,1215,WN,342,N324SW,59,70,48,12,23,SAN,PHX,304,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1632,1610,1837,1820,WN,410,N618WN,65,70,51,17,22,SAN,PHX,304,7,7,0,,0,0,0,0,0,17
2008,1,4,5,819,820,1034,1030,WN,414,N447WN,75,70,51,4,-1,SAN,PHX,304,8,16,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,707,710,919,915,WN,496,N797MX,72,65,48,4,-3,SAN,PHX,304,3,21,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,2255,2140,49,2345,WN,943,N768SW,54,65,43,64,75,SAN,PHX,304,4,7,0,,0,0,0,0,0,64
2008,1,4,5,1157,1145,1358,1355,WN,1022,N449WN,61,70,46,3,12,SAN,PHX,304,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1531,1415,1730,1625,WN,1684,N403WN,59,70,46,65,76,SAN,PHX,304,3,10,0,,0,5,0,0,0,60
2008,1,4,5,2220,2050,17,2255,WN,2092,N611SW,57,65,42,82,90,SAN,PHX,304,3,12,0,,0,0,0,0,0,82
2008,1,4,5,1754,1720,2006,1935,WN,2268,N651SW,72,75,50,31,34,SAN,PHX,304,7,15,0,,0,0,0,0,0,31
2008,1,4,5,1107,1105,1307,1315,WN,2703,N413WN,60,70,46,-8,2,SAN,PHX,304,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1904,1800,2110,2010,WN,3669,N359SW,66,70,50,60,64,SAN,PHX,304,5,11,0,,0,0,0,0,0,60
2008,1,4,5,926,925,1058,1105,WN,530,N302SW,92,100,79,-7,1,SAN,RNO,488,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1832,1755,NA,1935,WN,1511,N259WN,NA,100,NA,NA,37,SAN,RNO,488,NA,8,0,,1,NA,NA,NA,NA,NA
2008,1,4,5,1113,1105,1536,1540,WN,832,N489WN,143,155,131,-4,8,SAN,SAT,1129,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1553,1440,1729,1620,WN,123,N752SW,96,100,76,69,73,SAN,SFO,447,9,11,0,,0,41,0,0,0,28
2008,1,4,5,2215,2110,2338,2250,WN,381,N251WN,83,100,72,48,65,SAN,SFO,447,4,7,0,,0,0,0,10,0,38
2008,1,4,5,1815,1720,1939,1900,WN,458,N268WN,84,100,69,39,55,SAN,SFO,447,5,10,0,,0,0,0,35,0,4
2008,1,4,5,1515,1230,1658,1410,WN,585,N672SW,103,100,84,168,165,SAN,SFO,447,5,14,0,,0,0,0,151,0,17
2008,1,4,5,1020,1015,1159,1155,WN,1597,N403WN,99,100,87,4,5,SAN,SFO,447,5,7,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,838,835,1104,1015,WN,1855,N343SW,146,100,115,49,3,SAN,SFO,447,20,11,0,,0,0,0,49,0,0
2008,1,4,5,640,640,829,820,WN,3077,N770SA,109,100,87,9,0,SAN,SFO,447,7,15,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1911,1910,2041,2050,WN,3839,N701GS,90,100,73,-9,1,SAN,SFO,447,7,10,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1001,950,1124,1110,WN,67,N208WN,83,80,70,14,11,SAN,SJC,417,4,9,0,,0,NA,NA,NA,NA,NA
